Player,Team,GP,GS,TC,E,PO,A,DP,OFA,PB,PK,CS,FLD%
Salvador Perez,KC,124,120,1038,2,975,61,12,4,1,4,18,0.998
Christian Vazquez,BOS,132,119,1201,7,1136,60,6,19,10,3,18,0.994
Will Smith,LAD,117,111,1150,6,1101,43,1,11,9,0,24,0.994
J.T. Realmuto,PHI,118,112,1088,1,1057,36,10,21,6,1,10,0.998
Martin Maldonado,HOU,123,118,1101,8,1049,44,11,9,7,1,19,0.993
Omar Narvaez,MIL,111,100,1063,6,1006,51,2,16,5,2,17,0.994
Gary Sanchez,NYY,110,100,992,6,932,54,1,9,8,2,10,0.994
Mike Zunino,TB,105,97,951,5,908,38,2,4,10,1,13,0.995
Willson Contreras,CHC,116,112,949,7,885,57,6,20,3,5,12,0.993
Buster Posey,SF,106,102,918,3,884,31,3,15,2,0,14,0.997
Tucker Barnhart,CIN,102,97,929,2,880,47,5,13,3,1,17,0.998
James McCann,NYM,107,97,916,6,877,38,6,16,8,1,17,0.994
Sean Murphy,OAK,112,104,921,6,873,42,6,13,1,1,13,0.993
Jacob Stallings,PIT,104,103,923,5,870,48,2,21,0,1,12,0.995
Yadier Molina,STL,118,118,922,3,869,51,10,17,6,3,18,0.997
Victor Caratini,SD,101,87,887,2,851,34,3,13,6,0,10,0.998
Pedro Severino,BAL,109,102,832,4,797,31,2,5,10,1,9,0.995
