Year,Team,LG,G,AB,R,H,TB,2B,3B,HR,RBI,BB,IBB,SO,SB,CS,AVG,OBP,SLG,OPS
2011,KC,AL,39,148,20,49,70,8,2,3,21,7,0,20,0,0,0.331,0.361,0.473,0.834
2012,KC,AL,76,289,38,87,136,16,0,11,39,12,3,27,0,0,0.301,0.328,0.471,0.798
2013,KC,AL,138,496,48,145,215,25,3,13,79,21,2,63,0,0,0.292,0.323,0.433,0.757
2014,KC,AL,150,578,57,150,233,28,2,17,70,22,2,85,1,0,0.26,0.289,0.403,0.692
2015,KC,AL,142,531,52,138,226,25,0,21,70,13,4,82,1,0,0.26,0.28,0.426,0.706
2016,KC,AL,139,514,57,127,225,28,2,22,64,22,3,119,0,0,0.247,0.288,0.438,0.725
2017,KC,AL,129,471,57,126,233,24,1,27,80,17,3,95,1,0,0.268,0.297,0.495,0.792
2018,KC,AL,129,510,52,120,224,23,0,27,80,17,0,108,1,1,0.235,0.274,0.439,0.713
2020,KC,AL,37,150,22,50,95,12,0,11,32,3,0,36,1,0,0.333,0.353,0.633,0.986
2021,KC,AL,161,620,88,169,337,24,0,48,121,28,4,170,1,0,0.273,0.316,0.544,0.859
